"Step","race_SAC_dino_transformer - return_train","race_SAC_dino_transformer - return_train__MIN","race_SAC_dino_transformer - return_train__MAX","race_SAC_dino_bigger - return_train","race_SAC_dino_bigger - return_train__MIN","race_SAC_dino_bigger - return_train__MAX","race_SAC_dino - return_train","race_SAC_dino - return_train__MIN","race_SAC_dino - return_train__MAX","SAC_power_source_impoola_color - return_train","SAC_power_source_impoola_color - return_train__MIN","SAC_power_source_impoola_color - return_train__MAX","race_SAC - return_train","race_SAC - return_train__MIN","race_SAC - return_train__MAX"
"0","3.5699987411","3.5699987411","3.5699987411","0.5699997544","0.5699997544","0.5699997544","0","0","0","0.1199999973","0.1199999973","0.1199999973","0.2700000107","0.2700000107","0.2700000107"
"1","3.5699987411","3.5699987411","3.5699987411","","","","0","0","0","0.1199999973","0.1199999973","0.1199999973","0.2700000107","0.2700000107","0.2700000107"
"2","3.5699987411","3.5699987411","3.5699987411","","","","0","0","0","0.6899996996","0.6899996996","0.6899996996","","",""
"3","4.1899981499","4.1899981499","4.1899981499","0.5699997544","0.5699997544","0.5699997544","0","0","0","0.2100000232","0.2100000232","0.2100000232","1.0599994659","1.0599994659","1.0599994659"
"4","4.1899981499","4.1899981499","4.1899981499","0.5699997544","0.5699997544","0.5699997544","0.869999826","0.869999826","0.869999826","1.4699990749","1.4699990749","1.4699990749","0.2400000393","0.2400000393","0.2400000393"
"5","0.2200000435","0.2200000435","0.2200000435","0","0","0","0.869999826","0.869999826","0.869999826","1.4599992037","1.4599992037","1.4599992037","0.0799999908","0.0799999908","0.0799999908"
"6","0.2200000435","0.2200000435","0.2200000435","","","","0.0699999928","0.0699999928","0.0699999928","0.3299999535","0.3299999535","0.3299999535","","",""
"7","0.2500000298","0.2500000298","0.2500000298","0","0","0","0.0699999928","0.0699999928","0.0699999928","0.2200000435","0.2200000435","0.2200000435","0.230000034","0.230000034","0.230000034"
"8","0.2500000298","0.2500000298","0.2500000298","","","","0.5199998617","0.5199998617","0.5199998617","0.1099999994","0.1099999994","0.1099999994","0.6299997568","0.6299997568","0.6299997568"
"9","0.2500000298","0.2500000298","0.2500000298","0","0","0","0.5199998617","0.5199998617","0.5199998617","0.3299999535","0.3299999535","0.3299999535","1.679998517","1.679998517","1.679998517"
"10","0.4099998772","0.4099998772","0.4099998772","","","","0.1900000423","0.1900000423","0.1900000423","0.0599999987","0.0599999987","0.0599999987","","",""
