"Step","comic-armadillo-31 - return_train","comic-armadillo-31 - return_train__MIN","comic-armadillo-31 - return_train__MAX","TQC_speed - return_train","TQC_speed - return_train__MIN","TQC_speed - return_train__MAX","REDQSAC_speed - return_train","REDQSAC_speed - return_train__MIN","REDQSAC_speed - return_train__MAX","SAC_speed - return_train","SAC_speed - return_train__MIN","SAC_speed - return_train__MAX","REDQSAC_eaux_4_imgs_pretrained_3 - return_train","REDQSAC_eaux_4_imgs_pretrained_3 - return_train__MIN","REDQSAC_eaux_4_imgs_pretrained_3 - return_train__MAX","SAC_4_imgs_eaux_5 - return_train","SAC_4_imgs_eaux_5 - return_train__MIN","SAC_4_imgs_eaux_5 - return_train__MAX"
"0","2.6099982262","2.6099982262","2.6099982262","1.0499993563","1.0499993563","1.0499993563","1.1499994993","1.1499994993","1.1499994993","0","0","0","0.1399999857","0.1399999857","0.1399999857","3.1599993706","3.1599993706","3.1599993706"
"1","2.6099982262","2.6099982262","2.6099982262","1.0499993563","1.0499993563","1.0499993563","1.1499994993","1.1499994993","1.1499994993","0","0","0","0.1399999857","0.1399999857","0.1399999857","","",""
"2","2.6099982262","2.6099982262","2.6099982262","0.7299996018","0.7299996018","0.7299996018","1.4399989843","1.4399989843","1.4399989843","","","","","","","","",""
"3","3.5299975872","3.5299975872","3.5299975872","0.0799999908","0.0799999908","0.0799999908","0.4799999893","0.4799999893","0.4799999893","0.5199999213","0.5199999213","0.5199999213","0","0","0","4.2700037956","4.2700037956","4.2700037956"
"4","0.180000037","0.180000037","0.180000037","1.0199995041","1.0199995041","1.0199995041","0.439999938","0.439999938","0.439999938","0","0","0","0","0","0","3.4899981022","3.4899981022","3.4899981022"
"5","0.2400000393","0.2400000393","0.2400000393","0.319999963","0.319999963","0.319999963","1.7899987698","1.7899987698","1.7899987698","0.9399995208","0.9399995208","0.9399995208","0","0","0","2.2799985409","2.2799985409","2.2799985409"
"6","0.6499996781","0.6499996781","0.6499996781","0.7699996829","0.7699996829","0.7699996829","1.7899987698","1.7899987698","1.7899987698","","","","","","","","",""
"7","0.0199999977","0.0199999977","0.0199999977","0.4299998581","0.4299998581","0.4299998581","0.2599999905","0.2599999905","0.2599999905","0.7799996734","0.7799996734","0.7799996734","0.0099999988","0.0099999988","0.0099999988","1.3199993372","1.3199993372","1.3199993372"
"8","0.5299997926","0.5299997926","0.5299997926","0.0099999988","0.0099999988","0.0099999988","0.230000034","0.230000034","0.230000034","0.1199999973","0.1199999973","0.1199999973","0.0099999988","0.0099999988","0.0099999988","","",""
"9","0","0","0","0.180000037","0.180000037","0.180000037","3.2799975872","3.2799975872","3.2799975872","0.5500000119","0.5500000119","0.5500000119","0.0099999988","0.0099999988","0.0099999988","2.9999985695","2.9999985695","2.9999985695"
"10","0.8299994469","0.8299994469","0.8299994469","0.5499997735","0.5499997735","0.5499997735","0.6599997878","0.6599997878","0.6599997878","0.3899998367","0.3899998367","0.3899998367","","","","","",""
"11","0","0","0","0.319999963","0.319999963","0.319999963","1.4699990749","1.4699990749","1.4699990749","1.3899992704","1.3899992704","1.3899992704","3.2399981022","3.2399981022","3.2399981022","3.8699975014","3.8699975014","3.8699975014"
"12","0.969999373","0.969999373","0.969999373","0.0199999977","0.0199999977","0.0199999977","0.3499999344","0.3499999344","0.3499999344","1.3899992704","1.3899992704","1.3899992704","","","","","",""
